location_name,location,Week,tavg,pres,year,epiweek,week,enddate,pavg
Arizona,04,2010-01-09,13.5,1020.9,2010,201001,1,2010-01-09,1017.947619047619
Arkansas,05,2010-01-09,-7.128571428571429,1036.1,2010,201001,1,2010-01-09,1030.7642857142857
California,06,2010-01-09,13.538095238095238,1020.6666666666666,2010,201001,1,2010-01-09,1018.7952380952381
Colorado,08,2010-01-09,-5.233333333333333,1025.9666666666667,2010,201001,1,2010-01-09,1026.6380952380953
Connecticut,09,2010-01-09,-3.671428571428571,1016.7333333333332,2010,201001,1,2010-01-09,1006.552380952381
Delaware,10,2010-01-09,-2.2714285714285714,1020.0,2010,201001,1,2010-01-09,1011.5500000000001
Florida,12,2010-01-09,6.504761904761906,1022.2000000000002,2010,201001,1,2010-01-09,1021.2190476190477
Georgia,13,2010-01-09,-1.857142857142857,1026.0666666666666,2010,201001,1,2010-01-09,1022.3761904761906
Hawaii,15,2010-01-09,23.823809523809526,1012.6,2010,201001,1,2010-01-09,1012.5571428571428
Idaho,16,2010-01-09,-1.3476190476190477,1032.0,2010,201001,1,2010-01-09,1029.0857142857142
Illinois,17,2010-01-09,-10.70952380952381,1033.2666666666667,2010,201001,1,2010-01-09,1025.9333333333332
Indiana,18,2010-01-09,-8.880952380952381,1032.1000000000001,2010,201001,1,2010-01-09,1025.095238095238
Iowa,19,2010-01-09,-17.05238095238095,1036.8999999999999,2010,201001,1,2010-01-09,1030.752380952381
Kansas,20,2010-01-09,-12.095238095238097,1037.9333333333332,2010,201001,1,2010-01-09,1032.5523809523809
Kentucky,21,2010-01-09,-7.838095238095238,1031.3999999999999,2010,201001,1,2010-01-09,1025.7142857142858
Louisiana,22,2010-01-09,1.028571428571429,1033.6,2010,201001,1,2010-01-09,1028.45
Maine,23,2010-01-09,-3.5357142857142856,1012.9,2010,201001,1,2010-01-09,1000.8428571428573
Maryland,24,2010-01-09,-3.3523809523809525,1020.9,2010,201001,1,2010-01-09,1013.2095238095237
Massachusetts,25,2010-01-09,-4.885714285714286,1014.5666666666666,2010,201001,1,2010-01-09,1003.4952380952382
Michigan,26,2010-01-09,-5.514285714285714,1029.8,2010,201001,1,2010-01-09,1020.7285714285715
Minnesota,27,2010-01-09,-17.666666666666668,1035.966666666667,2010,201001,1,2010-01-09,1031.9833333333333
Mississippi,28,2010-01-09,-1.5714285714285714,1032.8999999999999,2010,201001,1,2010-01-09,1027.7857142857142
Missouri,29,2010-01-09,-12.095238095238093,1036.9333333333332,2010,201001,1,2010-01-09,1030.9476190476191
Montana,30,2010-01-09,-7.404761904761906,1025.9666666666667,2010,201001,1,2010-01-09,1030.047619047619
Nebraska,31,2010-01-09,-16.942857142857143,1038.3333333333333,2010,201001,1,2010-01-09,1033.8904761904762
Nevada,32,2010-01-09,5.842857142857143,1024.6666666666667,2010,201001,1,2010-01-09,1022.6238095238097
New Hampshire,33,2010-01-09,-4.847619047619047,1014.7333333333332,2010,201001,1,2010-01-09,1003.1285714285715
New Jersey,34,2010-01-09,-3.1809523809523808,1018.2333333333332,2010,201001,1,2010-01-09,1008.7952380952381
New Mexico,35,2010-01-09,-0.31428571428571417,1028.1,2010,201001,1,2010-01-09,1024.6142857142856
New York,36,2010-01-09,-6.176190476190477,1023.1333333333333,2010,201001,1,2010-01-09,1012.6190476190476
North Carolina,37,2010-01-09,-2.3857142857142857,1023.3000000000001,2010,201001,1,2010-01-09,1018.004761904762
North Dakota,38,2010-01-09,-19.938095238095237,1030.6,2010,201001,1,2010-01-09,1035.1285714285714
Ohio,39,2010-01-09,-6.661904761904762,1029.0666666666666,2010,201001,1,2010-01-09,1021.7666666666665
Oklahoma,40,2010-01-09,-5.938095238095238,1036.2666666666667,2010,201001,1,2010-01-09,1031.4714285714285
Oregon,41,2010-01-09,6.728571428571428,1022.1999999999999,2010,201001,1,2010-01-09,1020.5047619047618
Pennsylvania,42,2010-01-09,-4.352380952380953,1022.0333333333333,2010,201001,1,2010-01-09,1013.2857142857143
Rhode Island,44,2010-01-09,-3.6714285714285717,1014.2000000000002,2010,201001,1,2010-01-09,1003.3857142857142
South Carolina,45,2010-01-09,0.7095238095238096,1023.6999999999999,2010,201001,1,2010-01-09,1019.6809523809524
South Dakota,46,2010-01-09,-17.666666666666668,1032.1666666666667,2010,201001,1,2010-01-09,1033.2476190476189
Tennessee,47,2010-01-09,-5.99047619047619,1032.2,2010,201001,1,2010-01-09,1026.8142857142855
Texas,48,2010-01-09,2.400000000000001,1034.3999999999999,2010,201001,1,2010-01-09,1028.7142857142858
Utah,49,2010-01-09,-4.857142857142857,1032.7,2010,201001,1,2010-01-09,1029.8428571428572
Vermont,50,2010-01-09,-8.314285714285715,1020.7,2010,201001,1,2010-01-09,1008.3714285714285
Virginia,51,2010-01-09,-1.6428571428571426,1020.6,2010,201001,1,2010-01-09,1014.4714285714286
Washington,53,2010-01-09,4.128571428571428,1023.8000000000001,2010,201001,1,2010-01-09,1022.8714285714286
West Virginia,54,2010-01-09,-6.8761904761904775,1027.8666666666666,2010,201001,1,2010-01-09,1021.6857142857143
Wisconsin,55,2010-01-09,-9.376190476190477,1033.3,2010,201001,1,2010-01-09,1025.9428571428573
Wyoming,56,2010-01-09,-7.235714285714286,1024.9,2010,201001,1,2010-01-09,1027.4
Alabama,01,2010-01-16,1.9476190476190474,1015.5,2010,201002,2,2010-01-16,1026.8476190476192
Alaska,02,2010-01-16,-13.414285714285715,986.0,2010,201002,2,2010-01-16,995.9761904761906
Arizona,04,2010-01-16,14.628571428571428,1015.4,2010,201002,2,2010-01-16,1017.8142857142856
Arkansas,05,2010-01-16,2.8285714285714287,1017.65,2010,201002,2,2010-01-16,1026.1499999999999
California,06,2010-01-16,13.966666666666667,1015.2999999999998,2010,201002,2,2010-01-16,1019.6380952380953
Colorado,08,2010-01-16,1.938095238095238,1016.1666666666666,2010,201002,2,2010-01-16,1022.4285714285716
Connecticut,09,2010-01-16,-1.6571428571428568,1020.8000000000001,2010,201002,2,2010-01-16,1020.6380952380952
Delaware,10,2010-01-16,-0.4571428571428572,1023.2,2010,201002,2,2010-01-16,1023.2714285714285
Florida,12,2010-01-16,10.328571428571427,1017.6333333333333,2010,201002,2,2010-01-16,1025.6333333333334
Georgia,13,2010-01-16,2.895238095238095,1019.1,2010,201002,2,2010-01-16,1026.0333333333333
Hawaii,15,2010-01-16,22.366666666666667,1016.6,2010,201002,2,2010-01-16,1016.6380952380953
Idaho,16,2010-01-16,3.0857142857142854,1015.7000000000002,2010,201002,2,2010-01-16,1022.4142857142858
Illinois,17,2010-01-16,-5.123809523809524,1022.6333333333333,2010,201002,2,2010-01-16,1024.3380952380953
Indiana,18,2010-01-16,-2.3523809523809525,1022.3333333333334,2010,201002,2,2010-01-16,1026.0476190476188
Iowa,19,2010-01-16,-5.638095238095238,1021.3,2010,201002,2,2010-01-16,1024.1285714285714
Kansas,20,2010-01-16,-1.104761904761905,1020.6,2010,201002,2,2010-01-16,1025.2190476190478
Kentucky,21,2010-01-16,-0.34761904761904766,1021.3666666666667,2010,201002,2,2010-01-16,1026.992857142857
Louisiana,22,2010-01-16,5.45,1011.7,2010,201002,2,2010-01-16,1026.242857142857
Maine,23,2010-01-16,-5.385714285714286,1016.5,2010,201002,2,2010-01-16,1017.1285714285715
Maryland,24,2010-01-16,0.3714285714285714,1023.4333333333334,2010,201002,2,2010-01-16,1023.6428571428571
Massachusetts,25,2010-01-16,-3.504761904761905,1018.8666666666668,2010,201002,2,2010-01-16,1018.852380952381
