weekendingdate,location,pct_hosp,date
2024-04-27T00:00:00.000,41,0.9677,2024-04-27
2024-04-27T00:00:00.000,42,0.945,2024-04-27
2024-04-27T00:00:00.000,72,0.9815,2024-04-27
2024-04-27T00:00:00.000,44,1.0,2024-04-27
2024-04-27T00:00:00.000,45,0.9467,2024-04-27
2024-04-27T00:00:00.000,46,1.0,2024-04-27
2024-04-27T00:00:00.000,47,0.9173,2024-04-27
2024-04-27T00:00:00.000,48,0.9462,2024-04-27
2024-04-27T00:00:00.000,US,0.9442,2024-04-27
2024-04-27T00:00:00.000,49,0.9821,2024-04-27
2024-04-27T00:00:00.000,51,0.9208,2024-04-27
2024-04-27T00:00:00.000,78,1.0,2024-04-27
2024-04-27T00:00:00.000,50,1.0,2024-04-27
2024-04-27T00:00:00.000,53,0.9897,2024-04-27
2024-04-27T00:00:00.000,55,0.9864,2024-04-27
2024-04-27T00:00:00.000,54,0.9831,2024-04-27
2024-04-27T00:00:00.000,56,0.9,2024-04-27
2024-05-04T00:00:00.000,02,0.8333,2024-05-04
2024-05-04T00:00:00.000,01,0.99,2024-05-04
2024-05-04T00:00:00.000,05,0.9022,2024-05-04
2024-05-04T00:00:00.000,60,1.0,2024-05-04
2024-05-04T00:00:00.000,04,0.8182,2024-05-04
2024-05-04T00:00:00.000,06,0.9194,2024-05-04
2024-05-04T00:00:00.000,08,0.95,2024-05-04
2024-05-04T00:00:00.000,09,1.0,2024-05-04
2024-05-04T00:00:00.000,11,0.9091,2024-05-04
2024-05-04T00:00:00.000,10,1.0,2024-05-04
2024-05-04T00:00:00.000,12,0.8873,2024-05-04
2024-05-04T00:00:00.000,13,0.8563,2024-05-04
2024-05-04T00:00:00.000,66,1.0,2024-05-04
2024-05-04T00:00:00.000,15,0.75,2024-05-04
2024-05-04T00:00:00.000,19,0.7213,2024-05-04
2024-05-04T00:00:00.000,16,1.0,2024-05-04
2024-05-04T00:00:00.000,17,0.8806,2024-05-04
2024-05-04T00:00:00.000,18,0.9437,2024-05-04
2024-05-04T00:00:00.000,20,0.9021,2024-05-04
2024-05-04T00:00:00.000,21,0.9196,2024-05-04
2024-05-04T00:00:00.000,22,0.784,2024-05-04
2024-05-04T00:00:00.000,25,0.908,2024-05-04
2024-05-04T00:00:00.000,24,0.9608,2024-05-04
2024-05-04T00:00:00.000,23,0.9189,2024-05-04
2024-05-04T00:00:00.000,26,0.9744,2024-05-04
2024-05-04T00:00:00.000,27,0.9699,2024-05-04
2024-05-04T00:00:00.000,29,0.9355,2024-05-04
2024-05-04T00:00:00.000,69,0.0,2024-05-04
2024-05-04T00:00:00.000,28,0.9057,2024-05-04
2024-05-04T00:00:00.000,30,0.9683,2024-05-04
2024-05-04T00:00:00.000,37,0.9185,2024-05-04
2024-05-04T00:00:00.000,38,0.898,2024-05-04
2024-05-04T00:00:00.000,31,0.9388,2024-05-04
2024-05-04T00:00:00.000,33,1.0,2024-05-04
2024-05-04T00:00:00.000,34,0.9882,2024-05-04
2024-05-04T00:00:00.000,35,0.9388,2024-05-04
2024-05-04T00:00:00.000,32,0.902,2024-05-04
2024-05-04T00:00:00.000,36,0.9659,2024-05-04
2024-05-04T00:00:00.000,39,0.9206,2024-05-04
2024-05-04T00:00:00.000,40,0.9078,2024-05-04
2024-05-04T00:00:00.000,41,0.871,2024-05-04
2024-05-04T00:00:00.000,42,0.9404,2024-05-04
2024-05-04T00:00:00.000,72,0.9815,2024-05-04
2024-05-04T00:00:00.000,44,1.0,2024-05-04
2024-05-04T00:00:00.000,45,0.9467,2024-05-04
2024-05-04T00:00:00.000,46,1.0,2024-05-04
2024-05-04T00:00:00.000,47,0.9173,2024-05-04
2024-05-04T00:00:00.000,48,0.9442,2024-05-04
2024-05-04T00:00:00.000,US,0.919,2024-05-04
2024-05-04T00:00:00.000,49,0.9821,2024-05-04
2024-05-04T00:00:00.000,51,0.9208,2024-05-04
2024-05-04T00:00:00.000,78,1.0,2024-05-04
2024-05-04T00:00:00.000,50,1.0,2024-05-04
2024-05-04T00:00:00.000,53,0.9897,2024-05-04
2024-05-04T00:00:00.000,55,0.8776,2024-05-04
2024-05-04T00:00:00.000,54,0.9831,2024-05-04
2024-05-04T00:00:00.000,56,0.9,2024-05-04
2024-05-11T00:00:00.000,02,0.5833,2024-05-11
2024-05-11T00:00:00.000,01,0.18,2024-05-11
2024-05-11T00:00:00.000,05,0.4348,2024-05-11
2024-05-11T00:00:00.000,60,1.0,2024-05-11
2024-05-11T00:00:00.000,04,0.5455,2024-05-11
2024-05-11T00:00:00.000,06,0.5718,2024-05-11
2024-05-11T00:00:00.000,08,0.44,2024-05-11
2024-05-11T00:00:00.000,09,0.9375,2024-05-11
2024-05-11T00:00:00.000,11,0.9091,2024-05-11
2024-05-11T00:00:00.000,10,0.7273,2024-05-11
2024-05-11T00:00:00.000,12,0.4473,2024-05-11
2024-05-11T00:00:00.000,13,0.3063,2024-05-11
2024-05-11T00:00:00.000,66,0.5,2024-05-11
2024-05-11T00:00:00.000,15,0.3571,2024-05-11
2024-05-11T00:00:00.000,19,0.3525,2024-05-11
2024-05-11T00:00:00.000,16,0.8298,2024-05-11
2024-05-11T00:00:00.000,17,0.5572,2024-05-11
2024-05-11T00:00:00.000,18,0.4437,2024-05-11
2024-05-11T00:00:00.000,20,0.4895,2024-05-11
2024-05-11T00:00:00.000,21,0.4107,2024-05-11
2024-05-11T00:00:00.000,22,0.5247,2024-05-11
2024-05-11T00:00:00.000,25,0.8851,2024-05-11
2024-05-11T00:00:00.000,24,0.6275,2024-05-11
2024-05-11T00:00:00.000,23,0.7027,2024-05-11
2024-05-11T00:00:00.000,26,0.7179,2024-05-11
